player1,player2,depth1,depth2,time,num_rounds,winner
random,random,,,0.2541954,28.4,2(1)/3(2)
random,move_dif_eval(AI easy),,2,3.41513,6.2,1(1)/4(2)
random,piece_enemy_moves(AI medium),,3,46.540408,5.4,0(1)/5(2)
random,min_num_enemy_moves(AI hard),,3,46.501678,3.6,0(1)/5(2)
move_dif_eval(AI easy),piece_enemy_moves(AI medium),2,3,27.871801614761353,4,1
piece_enemy_moves(AI medium),move_dif_eval(AI easy),3,2,57.43560767173767,6,1
piece_enemy_moves(AI medium),min_num_enemy_moves(AI hard),3,3,121.6748628616333,8,2
min_num_enemy_moves(AI hard),piece_enemy_moves(AI medium),3,3,51.68491005897522,2,2
move_dif_eval(AI easy),min_num_enemy_moves(AI hard),2,3,18.705236196517944,1,2
min_num_enemy_moves(AI hard),move_dif_eval(AI easy),3,2,58.68344187736511,4,1
